asset_id,pack_name,original_local_path,target_game_path,asset_kind,source_url,author_or_rightsholder,license_name,license_file_path,license_evidence,attribution_required,required_attribution_text,redistribution_allowed,modification_allowed,commercial_use_allowed,security_review_status,decision,decision_reason,sha256,audit_date
kenney_castle_kit,"Kenney Castle Kit","godot_assets/buildings/kenney_castle-kit/","game/assets/third_party/kenney/castle-kit/",model_pack,https://kenney.nl/assets/castle-kit,"Kenney (kenney.nl)","CC0 1.0 Universal","godot_assets/buildings/kenney_castle-kit/License.txt","License: (Creative Commons Zero, CC0) … You can use this content for personal, educational, and commercial purposes. Support by crediting 'Kenney' … (this is not a requirement)",no,,yes,yes,yes,clean,APPROVED,"Lokale License.txt wörtlich geprüft: CC0, Attribution nicht erforderlich",921f3f73927bb23106cae34bc21d5ab4b033a9fc120475e96f714a406e3169df,2026-07-01
quaternius_medieval_village_megakit,"Quaternius Medieval Village MegaKit (Standard FREE)","godot_assets/buildings/quaternius_medieval-village-megakit/Medieval Village MegaKit[Standard]/","game/assets/third_party/quaternius/medieval-village-megakit/",model_pack,https://quaternius.com/packs/medievalvillagemegakit.html,"@Quaternius","CC0 1.0 Universal","godot_assets/buildings/quaternius_medieval-village-megakit/Medieval Village MegaKit[Standard]/License_Standard.txt","License: CC0 1.0 Universal (CC0 1.0) Public Domain Dedication — this is the standard FREE version … which only contains a portion of the models",no,,yes,yes,yes,clean,APPROVED,"Lokale License_Standard.txt geprüft: CC0. Nur Standard-FREE-Teilmenge im Bestand; PRO/SOURCE separat lizenziert und nicht enthalten",e60dea67c10f30dccccfbff92a7933f5ea5cfe99be0e2a0fa5118cceabeec5c4,2026-07-01
kaykit_medieval_hexagon_pack,"KayKit Medieval Hexagon Pack (FREE)","godot_assets/buildings/kaykit_medieval-hexagon-pack/KayKit_Medieval_Hexagon_Pack_1.0_FREE/","game/assets/third_party/kaykit/medieval-hexagon/",model_pack,https://kaylousberg.itch.io/kaykit-medieval-hexagon,"Kay Lousberg (kaylousberg.com)","CC0 1.0 Universal","godot_assets/buildings/kaykit_medieval-hexagon-pack/KayKit_Medieval_Hexagon_Pack_1.0_FREE/License.txt","License: (Creative Commons Zero, CC0) … This content is free to use in personal, educational and commercial projects. Support me by crediting Kay Lousberg … (this is not mandatory)",no,,yes,yes,yes,clean,APPROVED,"Lokale License.txt geprüft: CC0, Credit erwünscht aber nicht verpflichtend",4fbb374c45732c88522bd3439e9415bf568c683236ede336b4e61d161155ba12,2026-07-01
polypizza_church_google,"Poly.Pizza — Church","godot_assets/buildings/polypizza_church_poly-by-google.glb","game/assets/third_party/polypizza/church.glb",model,https://poly.pizza/m/0Oe72PEPCK6,"Poly by Google","CC-BY 3.0","(keine lokale Lizenzdatei — offizielle Quelle poly.pizza, Abruf 2026-07-01)","poly.pizza/m/0Oe72PEPCK6: 'OBJ/GLTF format • Creative Commons Attribution' (Link → creativecommons.org/licenses/by/3.0/); 'By Poly by Google'",yes,"""Church"" by Poly by Google, CC-BY 3.0 (via poly.pizza)",yes,yes,yes,clean,APPROVED_WITH_ATTRIBUTION,"Offizielle poly.pizza-Seite verifiziert: CC-BY 3.0, Attributionspflicht",270dbb92738bac376b08d356b3f899a5a12778cc100779dc5593b8a633102f8d,2026-07-01
polypizza_temple_quaternius,"Poly.Pizza — Temple","godot_assets/buildings/polypizza_temple_quaternius_cc0.glb","game/assets/third_party/polypizza/temple.glb",model,https://poly.pizza/m/JsZnPztvRl,"Quaternius","CC0 1.0 Universal","(keine lokale Lizenzdatei — offizielle Quelle poly.pizza, Abruf 2026-07-01)","poly.pizza/m/JsZnPztvRl: 'FBX/GLTF format • Public Domain (CC0)' (Link → publicdomain/zero/1.0/); 'By Quaternius'",no,,yes,yes,yes,clean,APPROVED,"Offizielle poly.pizza-Seite verifiziert: CC0",8939e4c47c2b37f0d1bed2df7025b66a4cf71057ae01ecaafa04b234ebeaa560,2026-07-01
polypizza_archway_google,"Poly.Pizza — Archway (gothic-set)","godot_assets/buildings/polypizza_gothic-set/Archway.glb","game/assets/third_party/polypizza/gothic/Archway.glb",model,https://poly.pizza/m/d6lqRR2TU0i,"Poly by Google","CC-BY 3.0","(keine lokale Lizenzdatei — offizielle Quelle poly.pizza, Abruf 2026-07-01)","poly.pizza/m/d6lqRR2TU0i: 'OBJ/GLTF format • Creative Commons Attribution' (Link → licenses/by/3.0/)",yes,"""Archway"" by Poly by Google, CC-BY 3.0 (via poly.pizza)",yes,yes,yes,clean,APPROVED_WITH_ATTRIBUTION,"Offizielle poly.pizza-Seite verifiziert: CC-BY 3.0",cbeb58bb938d0f6fd5066ac7ba1d9edf57d2f4730a8c8fb75497fdf09a819240,2026-07-01
polypizza_castle_google,"Poly.Pizza — Castle (gothic-set)","godot_assets/buildings/polypizza_gothic-set/Castle.glb","game/assets/third_party/polypizza/gothic/Castle.glb",model,https://poly.pizza/m/aG0AF5d-zbY,"Poly by Google","CC-BY 3.0","(keine lokale Lizenzdatei — offizielle Quelle poly.pizza, Abruf 2026-07-01)","poly.pizza/m/aG0AF5d-zbY: 'OBJ/GLTF format • Creative Commons Attribution' (Link → licenses/by/3.0/)",yes,"""Castle"" by Poly by Google, CC-BY 3.0 (via poly.pizza)",yes,yes,yes,clean,APPROVED_WITH_ATTRIBUTION,"Offizielle poly.pizza-Seite verifiziert: CC-BY 3.0",03909cf9a077db307c1ceb41a4e06673e3ee1fd26d780bbc2b5a7e75fb93a061,2026-07-01
polypizza_cathedral_oliveira,"Poly.Pizza — Cathedral (gothic-set)","godot_assets/buildings/polypizza_gothic-set/Cathedral.glb","game/assets/third_party/polypizza/gothic/Cathedral.glb",model,https://poly.pizza/m/fEJKTKNRAsN,"Bruno Oliveira","CC-BY 3.0","(keine lokale Lizenzdatei — offizielle Quelle poly.pizza, Abruf 2026-07-01)","poly.pizza/m/fEJKTKNRAsN: 'OBJ/GLTF format • Creative Commons Attribution' (Link → licenses/by/3.0/); 'By Bruno Oliveira'",yes,"""Cathedral"" by Bruno Oliveira, CC-BY 3.0 (via poly.pizza)",yes,yes,yes,clean,APPROVED_WITH_ATTRIBUTION,"Offizielle poly.pizza-Seite verifiziert: CC-BY 3.0, Autor Bruno Oliveira",c1ae5b325d577e773ebbfc50d3eca0165fb9a98ad29ca0fae1cc1e1ca6a7426f,2026-07-01
polypizza_cemetary_google,"Poly.Pizza — Cemetary (gothic-set)","godot_assets/buildings/polypizza_gothic-set/Cemetary.glb","game/assets/third_party/polypizza/gothic/Cemetary.glb",model,https://poly.pizza/m/c5L6hAdX3ua,"Poly by Google","CC-BY 3.0","(keine lokale Lizenzdatei — offizielle Quelle poly.pizza, Abruf 2026-07-01)","poly.pizza/m/c5L6hAdX3ua: 'OBJ/GLTF format • Creative Commons Attribution' (Link → licenses/by/3.0/)",yes,"""Cemetary"" by Poly by Google, CC-BY 3.0 (via poly.pizza)",yes,yes,yes,clean,APPROVED_WITH_ATTRIBUTION,"Offizielle poly.pizza-Seite verifiziert: CC-BY 3.0",fbb1dbc227df85445dd28491fc0f527edcaac3b63e5e4b3ae0a3108bf818d453,2026-07-01
polypizza_gate_google,"Poly.Pizza — Gate (gothic-set)","godot_assets/buildings/polypizza_gothic-set/Gate.glb","game/assets/third_party/polypizza/gothic/Gate.glb",model,https://poly.pizza/m/711AlCsueib,"Poly by Google","CC-BY 3.0","(keine lokale Lizenzdatei — offizielle Quelle poly.pizza, Abruf 2026-07-01)","poly.pizza/m/711AlCsueib: 'OBJ/GLTF format • Creative Commons Attribution' (Link → licenses/by/3.0/)",yes,"""Gate"" by Poly by Google, CC-BY 3.0 (via poly.pizza)",yes,yes,yes,clean,APPROVED_WITH_ATTRIBUTION,"Offizielle poly.pizza-Seite verifiziert: CC-BY 3.0",0775c10bd5ddf97552957834c417cccd30d8b19263a21d26df6486b584e91b8d,2026-07-01
